product_id,title,source,status,decision_reason,admin_url
gid://shopify/Product/10069968748850,Portable Bluetooth Mountain Bike Speaker - Waterproof & Shock Resistant Outdoor Audio,shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968748850
gid://shopify/Product/10069968781618,JLAB J Buddies Kids Headphones Blue - Safe Volume-Limiting Headphones for Children,shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968781618
gid://shopify/Product/10069968912690,"Massage Gun Deep Tissue - Back Massager for Pain Relief with Extended Handle, 12mm Percussion, Adjustable Speed",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968912690
gid://shopify/Product/10069968978226,"Folding Lawn 3.4lbs Portable Chair, Heavy Duty Camping Chair for Adults, Compact Outdoor Folding Seat, White",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968978226
gid://shopify/Product/10069969010994,Spin Mop Replacement Heads & Handle Base Compatible with O Cedar EasyWring - 6 Pack,shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969010994
gid://shopify/Product/10069969043762,"Heated Vest for Men Women - Lightweight 10000mAh Battery, Water Resistant for Hunting & Outdoor",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969043762
gid://shopify/Product/10069969142066,"E88 Drone with Screen Controller - Foldable Mini Drone for Beginners with 1080P Camera, 2 Batteries, Obstacle Avoidance",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969142066
gid://shopify/Product/10069969207602,"Foldable FPV RC Quadcopter for Kids - Mini Drone with Camera, Altitude Hold, 360° Flip",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969207602
gid://shopify/Product/10069969240370,"MOCVOO Foldable Drone with 1080P Camera for Kids and Beginners - 2 Batteries, Carrying Case, FPV, Headless Mode, Waypoints Fly, 360° Flips",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969240370
gid://shopify/Product/10069969273138,"E88 Drone with Dual Camera - Beginner Indoor RC Quadcopter with App Control, Dual Batteries, Ideal Gift for Kids and Adults (Black)",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969273138
