product_id,title,source,status,decision_reason,admin_url
gid://shopify/Product/10069968748850,Sound Machine Wireless Bluetooth compatible Stereo Portable Mountain Bike Speaker Shock Resistance Waterproof Outdoor Riding Bicycle Audio (Color : Dark blue),shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968748850
gid://shopify/Product/10069968781618,"JLAB J buddies Kids Headphones, Blue (see description)",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968781618
gid://shopify/Product/10069968912690,"Massage Gun Deep Tissue - Back Massager for Pain Relief Deep Tissue with Extended Handle, 12MM Percussion Less-Shock Neck/Foot/Leg/Shoulder Massager, Infinitely Adjustable Speed & 4 Replaceable Heads",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968912690
gid://shopify/Product/10069968945458,"Electric Spin Scrubber, 2025 New Cordless Cleaning Brush, Shower Cleaning Brush with 7 Replaceable Brush Heads, Power Scrubber 3 Adjustable Speeds, Detachable Long Handle & IPX7 Waterproof",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968945458
gid://shopify/Product/10069968978226,"Folding Lawn 3.4lbs Portable Chair, Heavy Duty Camping Chair for Adults, Compact Outdoor Folding Seat, White",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069968978226
gid://shopify/Product/10069969010994,"Spin Mop Replace Head Base, Handle Compatible with O Cedar EasyWring Microfiber Spin Mop,6 Mop Refills Replacement Heads, 30-58"" Mop Handle and 1 Mop Base Combo Set (White,1-Tank System)",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969010994
gid://shopify/Product/10069969043762,"Heated Vest for Men Women, Lightweight Heating Vest, 10000mAh 7.4V Battery Pack, Water/Wind Resistant for Hunting",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969043762
gid://shopify/Product/10069969142066,"E88 Drone with Screen Controller with SD card, Foldable Mini Drone for Beginners, 2 Batteries, 360° Flips Waypoint Fly, Active Obstacle Avoidance, One Key Take Off/Landing. (2 batteries - Black)",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969142066
gid://shopify/Product/10069969207602,"Foldable FPV RC Quadcopter for Kids, Mini Drone with Camera, Altitude Hold, 360° Flip, Small Helicopter",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969207602
gid://shopify/Product/10069969240370,"Drone With Camera for Adults Beginners Kids, Foldable RC Quadcopter, Toys Drone, 1080P FPV Video, 2 Batteries, Carrying Case, One Key Start, Headless Mode, Waypoints fly, 360° Flips",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969240370
gid://shopify/Product/10069969273138,"E88 Drone With Dual Camera, Mobile App Control, Indoor Flying Toy RC Plane With Video Function - Ideal Gift For Beginners, Christmas Halloween Thanksgiving Birthday Gift (Black+Dual Batteries)",shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10069969273138
gid://shopify/Product/10074542407986,Portable Speaker.Small Wireless Speaker,shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10074542407986
gid://shopify/Product/10074547454258,Bluetooth Earbuds,shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10074547454258
gid://shopify/Product/10074547749170,Black 12V Integrated Plug 1 Piece Heated full Seat Cushion,shopify_frontend,needs_manual_review,存在 Shopify 前端建议，但前端采纳未闭环且后端回退未形成有效变更，需人工复核。,https://admin.shopify.com/store/getbulkdeals/products/10074547749170
